category,prod_name,prod_price,product_picture,run_date
Herramientas/Acces.,TRAMONTINA MASTER MALETA ORGANIZADORA DE HERRAMIENTAS,Gs 96.900,https://www.stock.com.py/images/thumbs/0200628_500.jpeg,27/12/23
Herramientas/Acces.,TRAMONTINA CINTA METRICA 3 METROS,Gs 17.900,https://www.stock.com.py/images/thumbs/0200625_500.jpeg,27/12/23
Herramientas/Acces.,TRAMONTINA JUEGO DE DESTORNILLADORES 6 UNIDADES,Gs 32.900,https://www.stock.com.py/images/thumbs/0200624_500.jpeg,27/12/23
Herramientas/Acces.,TRAMONTINA JUEGO DE DESTORNILLADORES 7 UNIDADES,Gs 28.900,https://www.stock.com.py/images/thumbs/0200622_500.jpeg,27/12/23
Herramientas/Acces.,"TRAMONTINA MASTER PINZA PUNTA CHATA 6""",Gs 45.800,https://www.stock.com.py/images/thumbs/0200618_500.jpeg,27/12/23
Herramientas/Acces.,"PINZA ""TRAMONTINA"" UNIVERSAL",Gs 38.300,https://www.stock.com.py/images/thumbs/0200617_500.jpeg,27/12/23
Herramientas/Acces.,"TENAZA ""TRAMONTINA"" 6""",Gs 40.500,https://www.stock.com.py/images/thumbs/0200616_500.jpeg,27/12/23
Herramientas/Acces.,MARTILLO 1 UN PARA CARNE,Gs 39.700,https://www.stock.com.py/images/thumbs/0192251_500.jpeg,27/12/23
Herramientas/Acces.,LLAVE COMBINADA 24MM LIFE Y LVING REFST/060219 ,Gs 26.200,https://www.stock.com.py/images/thumbs/0189507_500.jpeg,27/12/23
Herramientas/Acces.,LLAVE COMBINADA 23MM LIFE Y LIVING REFST/060218,Gs 25.500,https://www.stock.com.py/images/thumbs/0189506_500.jpeg,27/12/23
Herramientas/Acces.,LLAVE COMBINADA 22MM LIFE Y LIVING REFST/060217 ,Gs 20.900,https://www.stock.com.py/images/thumbs/0189505_500.jpeg,27/12/23
Herramientas/Acces.,LLAVE COMBINADA 21MM LIFE Y LIVING REFST/060216 ,Gs 20.900,https://www.stock.com.py/images/thumbs/0189504_500.jpeg,27/12/23
Herramientas/Acces.,LLAVE COMBINADA 18MM LIFE Y LIVING REFST/060213 ,Gs 13.500,https://www.stock.com.py/images/thumbs/0189502_500.jpeg,27/12/23
Herramientas/Acces.,JGO D/DESTORNILLADORES D/TRINQUETE 17PZAS LIFE Y LIVING REFST/010613 ,Gs 49.900,https://www.stock.com.py/images/thumbs/0189497_500.jpeg,27/12/23
Herramientas/Acces.,NIVEL 9 STANFORD S/E REF ST-110211,Gs 19.900,https://www.stock.com.py/images/thumbs/0189451_500.jpeg,27/12/23
Herramientas/Acces.,PINZA PELACABLE 7 STANFORD S/E REF ST-020528,Gs 59.900,https://www.stock.com.py/images/thumbs/0189450_500.jpeg,27/12/23
Herramientas/Acces.,TENAZA CARPINTERO 8  STANFORD S/E REF ST-020516,Gs 37.900,https://www.stock.com.py/images/thumbs/0189449_500.jpeg,27/12/23
Herramientas/Acces.,MARTILLO STANFORD S/E REF ST-080110,Gs 33.500,https://www.stock.com.py/images/thumbs/0189447_500.jpeg,27/12/23
Herramientas/Acces.,MARTILLO PATA DE CABRA STANFORD S/E REF ST-080101,Gs 42.900,https://www.stock.com.py/images/thumbs/0189446_500.jpeg,27/12/23
Herramientas/Acces.,LLAVE AJUSTABLE 12 STANFORD S/E REF ST-060106,Gs 68.200,https://www.stock.com.py/images/thumbs/0189445_500.jpeg,27/12/23
Herramientas/Acces.,SIERRA DE MANO 12 STANFORD S/E REF ST-040203,Gs 39.900,https://www.stock.com.py/images/thumbs/0189444_500.jpeg,27/12/23
Herramientas/Acces.,SERRUCHO 18 STANFORD S/E REF ST-040101,Gs 37.500,https://www.stock.com.py/images/thumbs/0189443_500.jpeg,27/12/23
Herramientas/Acces.,DESTORNILLADOR CRUZ  PUNTA MAGNETICA STANFORD S/E REF ST-010306,Gs 13.500,https://www.stock.com.py/images/thumbs/0189440_500.jpeg,27/12/23
Herramientas/Acces.,LLAVE COMBINADA 10MM DAYO,Gs 26.900,https://www.stock.com.py/images/thumbs/0182093_500.jpeg,27/12/23
Herramientas/Acces.,LLAVE COMBINADA 11MM DAYO,Gs 30.900,https://www.stock.com.py/images/thumbs/0182092_500.jpeg,27/12/23
Herramientas/Acces.,LLAVE COMBINADA 12MM DAYO,Gs 32.900,https://www.stock.com.py/images/thumbs/0182091_500.jpeg,27/12/23
Herramientas/Acces.,LLAVE COMBINADA 13MM DAYO,Gs 25.900,https://www.stock.com.py/images/thumbs/0182090_500.jpeg,27/12/23
Herramientas/Acces.,LLAVE COMBINADA 14MM DAYO,Gs 29.900,https://www.stock.com.py/images/thumbs/0182088_500.jpeg,27/12/23
Adultos,ALBUM DE FIGURITAS PANINI FIFA 365,Gs 15.000,https://www.stock.com.py/images/thumbs/0207456_500.jpeg,27/12/23
Adultos,FIGURITAS PANINI FIFA 365 5UN PACK,Gs 5.000,https://www.stock.com.py/images/thumbs/0207436_500.jpeg,27/12/23
Adultos,LIBRO MARCO POLO PEQUEN?OS HEROES,Gs 32.900,https://www.stock.com.py/images/thumbs/0202911_500.jpeg,27/12/23
Adultos,LIBRO LEONARDO DA VINCI PEQUEN?OS HEROES,Gs 16.500,https://www.stock.com.py/images/thumbs/0202910_500.jpeg,27/12/23
Adultos,LIBROS JUVENILES ATLAS 9,Gs 38.500,https://www.stock.com.py/images/thumbs/0194766_500.jpeg,27/12/23
Adultos,LIBRO CLASICOS INFANTILES ATLAS 7 ,Gs 24.500,https://www.stock.com.py/images/thumbs/0194752_500.jpeg,27/12/23
Adultos,LIBRO EDUCATIVO ATLAS 6 ,Gs 19.500,https://www.stock.com.py/images/thumbs/0194735_500.jpeg,27/12/23
Adultos,LIBROS CLASICOS ATLAS 8 ,Gs 32.000,https://www.stock.com.py/images/thumbs/0183311_500.jpeg,27/12/23
Adultos,REVISTA ENTERATE,Gs 11.850,https://www.stock.com.py/images/thumbs/0139309_500.jpeg,27/12/23
Caldos/Sopas/Pure,SOPA CREMA VEGETALES 60GR KNORR,Gs 8.600,https://www.stock.com.py/images/thumbs/0204451_500.jpeg,27/12/23
Caldos/Sopas/Pure,KNORR PURE PAPAS RECETA COMPLETA LISTA 125 GR,Gs 12.300,https://www.stock.com.py/images/thumbs/0203603_500.jpeg,27/12/23
Caldos/Sopas/Pure,CALDO D/VERDURAS DESHIDRATADO 12UN MAGGI,Gs 9.800,https://www.stock.com.py/images/thumbs/0200531_500.jpeg,27/12/23
Caldos/Sopas/Pure,UMMY REBOZADOR PARA MILANESA 250 GR,Gs 13.900,https://www.stock.com.py/images/thumbs/0200377_500.jpeg,27/12/23
Caldos/Sopas/Pure,UMMY MEZCLA PARA PREPARAR PURE DE PAPAS 125 GR,Gs 9.700,https://www.stock.com.py/images/thumbs/0200376_500.jpeg,27/12/23
Caldos/Sopas/Pure,UMMY PRE MEZCLA SOPA PARAGUAYA 250 GR,Gs 21.900,https://www.stock.com.py/images/thumbs/0200375_500.jpeg,27/12/23
Caldos/Sopas/Pure,UMMY GUISO DE FIDEO CON POLLO 300 GR,Gs 23.900,https://www.stock.com.py/images/thumbs/0200374_500.jpeg,27/12/23
Caldos/Sopas/Pure,UMMY MEZCLA PARA PREPARAR GUISO DE ARROZ CON POLLO 300 GR,Gs 23.900,https://www.stock.com.py/images/thumbs/0200373_500.jpeg,27/12/23
Caldos/Sopas/Pure,UMMY MEZCLA PARA PREPARAR GUISO DE FIDEO CON CARNE 300 GR,Gs 23.900,https://www.stock.com.py/images/thumbs/0200372_500.jpeg,27/12/23
Caldos/Sopas/Pure,UMMY GUISO DE ARROZ CON CARNE 300 GR,Gs 23.900,https://www.stock.com.py/images/thumbs/0200371_500.jpeg,27/12/23
Caldos/Sopas/Pure,PURE DE PAPAS INSTANTANEO KNORR 125GR,Gs 11.500,https://www.stock.com.py/images/thumbs/0198784_500.jpeg,27/12/23
Caldos/Sopas/Pure,CALDO DE VERDURAS DESHIDRATADO BALANCE KNORR 12UNID,Gs 8.000,https://www.stock.com.py/images/thumbs/0198577_500.jpeg,27/12/23
Caldos/Sopas/Pure,"MAGGI CALDO DE VERDURAS DESHIDRATADO 6 UNIDADES 9,5 GR",Gs 5.650,https://www.stock.com.py/images/thumbs/0198201_500.jpeg,27/12/23
Caldos/Sopas/Pure,KNORR SOPA CREMA ZAPALLO CON NUEZ MOSCADA 70 GR,Gs 8.600,https://www.stock.com.py/images/thumbs/0196780_500.jpeg,27/12/23
Caldos/Sopas/Pure,"KNORR SOPA DE VEGETALES CON CARACOLITOS TRICOLOR 107,5 GR",Gs 8.600,https://www.stock.com.py/images/thumbs/0196776_500.jpeg,27/12/23
Caldos/Sopas/Pure,CALDO DE GALLINA KNORR 12UNID,Gs 8.000,https://www.stock.com.py/images/thumbs/0195337_500.jpeg,27/12/23
Caldos/Sopas/Pure,CALDO DE GALLINA KNORR 6UNID,Gs 4.800,https://www.stock.com.py/images/thumbs/0195336_500.jpeg,27/12/23
Caldos/Sopas/Pure,CALDO DE CARNE KNORR 12UNID,Gs 8.000,https://www.stock.com.py/images/thumbs/0195329_500.jpeg,27/12/23
Caldos/Sopas/Pure,CALDO DE CARNE KNORR 6UNID,Gs 4.800,https://www.stock.com.py/images/thumbs/0195328_500.jpeg,27/12/23
Caldos/Sopas/Pure,PURE DE PAPAS BIANCA 125GR,Gs 8.900,https://www.stock.com.py/images/thumbs/0188472_500.jpeg,27/12/23
Caldos/Sopas/Pure,PURE DE PAPAS BIANCA 400GR,Gs 21.900,https://www.stock.com.py/images/thumbs/0188470_500.jpeg,27/12/23
